title,price,product_code,description,sizes,images,category
Брюки Chino Slim Fit Crop светло-бежевого цвета с прорезиненной талией на талии,"₺449,00",mpn:BR241001-AÇIKBEJ,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-973d-f.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-976a38.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-0988e3.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-695ebc.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-2-a62b.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-2d005-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-f9408f.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-861-4c.jpg",Мужчинам>Брюки
Брюки-чинос облегающего кроя черного цвета с прорезиненной талией на талии,"₺489,00",mpn:BR241010-SİYAH,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-dc-b00.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-d5-4d3.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-ffeead.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-f091f7.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-9cc7-2.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-66a1-a.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantolo-775924.jpg",Мужчинам>Брюки
Облегающие брюки чинокроп светло-бежевого цвета с прорезиненной талией на талии,"₺489,00",mpn:BR241010-AÇIKBEJ,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-f-4615.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-ced12d.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-847456.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-e35-a9.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro--49db-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro--432a-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro--871e-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-65-69f.jpg",Мужчинам>Брюки
Приталенные брюки-чинос черного цвета с прорезиненной талией на талии,"₺489,00",mpn:BR241011-SİYAH,,,"https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-28-a48.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-5-4a8a.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-4-859d.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo--2c534.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-2e-4be.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-732-95.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-5-17e1.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-46ef-4.jpg",Мужчинам>Брюки
Приталенные брюки-чинос темно-зеленого цвета с прорезиненной талией на талии,"₺479,00",mpn:BR241012-DONUKYEŞİL,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-b04-48.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-a-b8da.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-90b9-7.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-63e-c3.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-slim-fit-chino-cro-de-44e.jpg",Мужчинам>Брюки
Приталенные брюки-чинос черного цвета с прорезиненной талией на талии,"₺499,00",mpn:BR241020-SİYAH,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-a7b915.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-2a-ad6.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-441a-9.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-c-a911.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-7-592b.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-0-b16b.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-aad8-9.jpg",Мужчинам>Брюки
Облегающие брюки чинокроп бежевого цвета с прорезиненной талией на талии,"₺499,00",mpn:BR241020-BEJ,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-8db-bc.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-7f-f6b.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-7cd9bf.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-43df-9.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo--567c-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-c3a-4a.jpg",Мужчинам>Брюки
Облегающие брюки-чинос серого цвета с прорезиненной талией на талии,"₺499,00",mpn:BR241020-GRİ,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-450-44.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-69-8e1.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-5f162-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-0bbebe.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-c8-b7e.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-e67-40.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-582a-4.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-9b8c44.jpg",Мужчинам>Брюки
Приталенные брюки-чинос темно-синего цвета с прорезиненной талией на талии,"₺499,00",mpn:BR241020-LACİVERT,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-6-fb41.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo--65f6-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-147a67.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo--5cd53.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-fac698.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-7d6248.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-1d56-4.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-crop-pantalo-8e-96c.jpg",Мужчинам>Брюки
Приталенные брюки-чинос темно-синего цвета с прорезиненной талией на талии,"₺569,00",mpn:BR241022-LACİVERT,,"28,30,32,34,36","https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-9d8e3e.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-f3-c88.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-efa9-4.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-608-dc.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal--a6dd-.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-c7-b07.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-08e671.jpg,https://static.ticimax.cloud/cdn-cgi/image/width=951,quality=99/63159/uploads/urunresimleri/buyuk/beli-yarim-lastikli-chino-ekose-pantal-0bbe50.jpg",Мужчинам>Брюки
