description,title,price,category,image
GS-99510,Плита 1(10шт),1018,,https://hoz-mos.ru/wp-content/uploads/2023/10/191_1679548848.jpg
AH-K162,Нож-бабочка складной 20см.,234.13,Хозяйственные товары,https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6-d0b1d0b0d0b1d0bed187d0bad0b0-d181d0bad0bbd0b0d0b4d0bdd0bed0b9-20d181d0bc.jpg
AH-D101,Нож-бабочка складной 21см. (черный) - AH-D101 (360шт),168.63999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6-d0b1d0b0d0b1d0bed187d0bad0b0-d181d0bad0bbd0b0d0b4d0bdd0bed0b9-21d181d0bc-d187d0b5d180d0bdd18bd0b9-ah-d101-360d188d182.jpg
AH-FD101,Нож-бабочка складной хромированный - AH-FD101,203.00999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6-d0b1d0b0d0b1d0bed187d0bad0b0-d181d0bad0bbd0b0d0b4d0bdd0bed0b9-d185d180d0bed0bcd0b8d180d0bed0b2d0b0d0bdd0bdd18bd0b9-ah-fd101-scaled.jpg
891-056,Нож-лопатка VETTA  силиконовая 27см.  -  HS9921,92.400000000000006,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6-d0bbd0bed0bfd0b0d182d0bad0b0-vetta-d181d0b8d0bbd0b8d0bad0bed0bdd0bed0b2d0b0d18f-27d181d0bc-hs9921.jpg
873-218,Нож-мачете TRAMONTINA MACHETES 46см.  26621/022,1104.5999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/nozh-machete-tramontina-machetes-46sm-873-218.jpg
AH-AV-177,Ножеточка  3 в 1,253.75999999999999,"Хозяйственные товары > Ножеточки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0b5d182d0bed187d0bad0b0-3-d0b2-1.jpg
76077,Ножеточка Black Horn,722,Хозяйственные товары > Ножеточки,https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0b5d182d0bed187d0bad0b0-black-horn.jpg
1698,"Молочник MAESTRO 1,5 литра, MR-1698",1015.35,"Бытовые электроприборы, Бытовые электроприборы > Кофеварки и кофемолки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-1698-d0bcd0bed0bbd0bed187d0bdd0b8d0ba-15-d0bb-maestro.jpg
G-578,термометр бытовой G-578 (200шт),72.450000000000003,"Товары для дома и дачи > Термометры, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d182d0b5d180d0bcd0bed0bcd0b5d182d180-d0b1d18bd182d0bed0b2d0bed0b9-g-578-200d188d182.jpg
884-063,"Ножеточка из нержавеющей стали  19,5х4,5х3см. AT-401 (144шт)",68.25,"Хозяйственные товары > Ножеточки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2024/11/nozhetochka-iz-nerzhaveyushhej-stali-195h45h3sm.jpg
AH-175,"Ножеточка из нержавеющей стали на присоске 6x6,5см.AH-175(200шт)",60.060000000000002,"Хозяйственные товары > Ножеточки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0b5d182d0bed187d0bad0b0-d0b8d0b7-d0bdd0b5d180d0b6d0b0d0b2d0b5d18ed189d0b5d0b9-d181d182d0b0d0bbd0b8-d0bdd0b0-d0bfd180d0b8.jpg
200-P,"Фен MAESTRO, .MR-200-PINK",696.24000000000001,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-200-pink-d184d0b5d0bd-maestro.jpg
AH-301,Ножеточка мышка AH-301(288шт),99.329999999999998,"Хозяйственные товары > Ножеточки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0b5d182d0bed187d0bad0b0-d0bcd18bd188d0bad0b0-ah-301288d188d182.jpg
RM-17,Электронные платформенные весы серии TCS - 150 кг. RM-17(1шт),4095,"Товары для дома и дачи > Весы и безмены, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d18dd0bbd0b5d0bad182d180d0bed0bdd0bdd18bd0b5-d0bfd0bbd0b0d182d184d0bed180d0bcd0b5d0bdd0bdd18bd0b5-d0b2d0b5d181d18b-d181d0b5d180d0b8.jpg
RE-514,Ножеточка Польская,95.159999999999997,"Хозяйственные товары > Ножеточки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0b5d182d0bed187d0bad0b0-d0bfd0bed0bbd18cd181d0bad0b0d18f.jpg
AH-373,ложка десертная гладкая 6шт №2 AH-373 (100шт),165.90000000000001,"Кухонные принадлежности, Кухонные принадлежности > Столовые приборы",https://hoz-mos.ru/wp-content/uploads/2024/11/doska-belaya-national-40h25tolshh-12mm-ah-37224sht.jpg
AH4-32,Ножка колесо для мебели поворотное (красное маленькое) BH-532 (1000шт),30.219999999999999,"Электротовары и ремонт > Фурнитура, Электротовары и ремонт",https://hoz-mos.ru/wp-content/uploads/2024/11/nozhka-koleso-dlya-mebeli-povorotnoe-kr.jpg
AH-004,Ножницы  для офиса и дома 12см. BH-41070 (480шт),41.439999999999998,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-richmax-d0b4d0bbd18f-d0bed184d0b8d181d0b0-d0b8-d0b4d0bed0bcd0b0-12d181d0bc-ah-004-480d188d182.jpg
AH4-75,Ножницы  SCISSORS кухонные   с черной ручкой - AH4-75 (240шт),106.26000000000001,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-scissors-d0bad183d185d0bed0bdd0bdd18bd0b5-d181-d187d0b5d180d0bdd0bed0b9-d180d183d187d0bad0bed0b9-ah4-75-240.jpg
AH-003,Ножницы для офиса и дома 14см. BH-41071 (480шт),48.509999999999998,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-richmax-d0b4d0bbd18f-d0bed184d0b8d181d0b0-d0b8-d0b4d0bed0bcd0b0-14d181d0bc-ah-003-480d188d182.jpg
AH-008,"Ножницы для офиса и дома 17,5см. BH-41073 (240шт)",71.609999999999999,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-richmax-d0b4d0bbd18f-d0bed184d0b8d181d0b0-d0b8-d0b4d0bed0bcd0b0-175d181d0bc-ah-008240d188d182.jpg
AH009,"Ножницы для офиса и дома 19,5см. BH-41074 (240шт)",72.769999999999996,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-richmax-d0b4d0bbd18f-d0bed184d0b8d181d0b0-d0b8-d0b4d0bed0bcd0b0-195d181d0bc-ah-009240d188d182.jpg
871-042,Ножницы TRAMONTINA  - 25922/108,566.51999999999998,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0bdd0b8d186d18b-tramontina-25922-108.jpg
